code,company_name,ticker_tse
1301,極洋,1301.T
1332,ニッスイ,1332.T
1333,Ｕｍｉｏｓ,1333.T
1375,ユキグニファクトリー,1375.T
1377,サカタのタネ,1377.T
1379,ホクト,1379.T
1414,ショーボンドホールディングス,1414.T
1417,ミライト・ワン,1417.T
1419,タマホーム,1419.T
1429,日本アクア,1429.T
1433,ベステラ,1433.T
1515,日鉄鉱業,1515.T
1518,三井松島ホールディングス,1518.T
1605,ＩＮＰＥＸ,1605.T
1662,石油資源開発,1662.T
1663,Ｋ＆Ｏエナジーグループ,1663.T
166A,タスキホールディングス,166A.T
167A,リョーサン菱洋ホールディングス,167A.T
1719,安藤・間,1719.T
1720,東急建設,1720.T
1721,コムシスホールディングス,1721.T
1762,高松コンストラクショングループ,1762.T
1766,東建コーポレーション,1766.T
1780,ヤマウラ,1780.T
1786,オリエンタル白石,1786.T
1801,大成建設,1801.T
1802,大林組,1802.T
1803,清水建設,1803.T
1808,長谷工コーポレーション,1808.T
1812,鹿島建設,1812.T
1813,不動テトラ,1813.T
1814,大末建設,1814.T
1815,鉄建建設,1815.T
1820,西松建設,1820.T
1833,奥村組,1833.T
1835,東鉄工業,1835.T
1852,淺沼組,1852.T
1860,戸田建設,1860.T
1861,熊谷組,1861.T
1870,矢作建設工業,1870.T
1871,ピーエス・コンストラクション,1871.T
1873,日本ハウスホールディングス,1873.T
1878,大東建託,1878.T
1879,新日本建設,1879.T
1882,東亜道路工業,1882.T
1885,東亜建設工業,1885.T
1887,日本国土開発,1887.T
1888,若築建設,1888.T
1893,五洋建設,1893.T
1898,世紀東急工業,1898.T
1899,福田組,1899.T
1911,住友林業,1911.T
1925,大和ハウス工業,1925.T
1926,ライト工業,1926.T
1928,積水ハウス,1928.T
1929,日特建設,1929.T
1930,北陸電気工事,1930.T
1934,ユアテック,1934.T
1938,日本リーテック,1938.T
1939,四電工,1939.T
1941,中電工,1941.T
1942,関電工,1942.T
1944,きんでん,1944.T
1945,東京エネシス,1945.T
1946,トーエネック,1946.T
1950,日本電設工業,1950.T
1951,エクシオグループ,1951.T
1952,新日本空調,1952.T
1959,クラフティア,1959.T
1961,三機工業,1961.T
1963,日揮ホールディングス,1963.T
1964,中外炉工業,1964.T
1968,太平電業,1968.T
1969,高砂熱学工業,1969.T
1975,朝日工業社,1975.T
1976,明星工業,1976.T
1979,大氣社,1979.T
1980,ダイダン,1980.T
1982,日比谷総合設備,1982.T
2001,ニップン,2001.T
2002,日清製粉グループ本社,2002.T
2004,昭和産業,2004.T
2053,中部飼料,2053.T
2060,フィード・ワン,2060.T
2108,日本甜菜製糖,2108.T
2109,ＤＭ三井製糖,2109.T
2117,ウェルネオシュガー,2117.T
2120,ＬＩＦＵＬＬ,2120.T
2121,ＭＩＸＩ,2121.T
2124,ジェイエイシーリクルートメント,2124.T
2127,日本Ｍ＆Ａセンターホールディングス,2127.T
212A,フィットイージー,212A.T
2130,メンバーズ,2130.T
2146,ＵＴグループ,2146.T
2148,アイティメディア,2148.T
2153,Ｅ・Ｊホールディングス,2153.T
2154,オープンアップグループ,2154.T
2157,コシダカホールディングス,2157.T
2163,アルトナー,2163.T
2168,パソナグループ,2168.T
2170,リンクアンドモチベーション,2170.T
2175,エス・エム・エス,2175.T
2181,パーソルホールディングス,2181.T
2198,アイ・ケイ・ケイホールディングス,2198.T
2201,森永製菓,2201.T
2206,江崎グリコ,2206.T
2207,ｍｅｉｔｏ,2207.T
2209,井村屋グループ,2209.T
2211,不二家,2211.T
2212,山崎製パン,2212.T
2217,モロゾフ,2217.T
2220,亀田製菓,2220.T
2222,寿スピリッツ,2222.T
2229,カルビー,2229.T
2264,森永乳業,2264.T
2266,六甲バター,2266.T
2267,ヤクルト本社,2267.T
2269,明治ホールディングス,2269.T
2270,雪印メグミルク,2270.T
2281,プリマハム,2281.T
2282,日本ハム,2282.T
2288,丸大食品,2288.T
2292,Ｓ　Ｆｏｏｄｓ,2292.T
2294,柿安本店,2294.T
2296,伊藤ハム米久ホールディングス,2296.T
2301,学情,2301.T
2307,クロスキャット,2307.T
2317,システナ,2317.T
2325,ＮＪＳ,2325.T
2326,デジタルアーツ,2326.T
2327,日鉄ソリューションズ,2327.T
2331,ＡＬＳＯＫ,2331.T
2335,キューブシステム,2335.T
2337,いちご,2337.T
2353,日本駐車場開発,2353.T
2359,コア,2359.T
2371,カカクコム,2371.T
2378,ルネサンス,2378.T
2379,ディップ,2379.T
2384,ＳＢＳホールディングス,2384.T
2395,新日本科学,2395.T
2410,キャリアデザインセンター,2410.T
2413,エムスリー,2413.T
2429,ワールドホールディングス,2429.T
2432,ディー・エヌ・エー,2432.T
2433,博報堂ＤＹホールディングス,2433.T
2461,ファンコミュニケーションズ,2461.T
2462,ライク,2462.T
2471,エスプール,2471.T
2475,ＷＤＢホールディングス,2475.T
2491,バリューコマース,2491.T
2492,インフォマート,2492.T
2501,サッポロビール,2501.T
2502,アサヒグループホールディングス,2502.T
2503,キリンホールディングス,2503.T
2531,宝ホールディングス,2531.T
2533,オエノンホールディングス,2533.T
256A,飛島ホールディングス,256A.T
2579,コカ・コーラ　ボトラーズジャパンホールディングス,2579.T
2585,ライフドリンク　カンパニー,2585.T
2587,サントリービバレッジ＆フード,2587.T
2590,ダイドーグループホールディングス,2590.T
2593,伊藤園,2593.T
25935,伊藤園第１種優先株式,25935.T
2594,キーコーヒー,2594.T
2602,日清オイリオグループ,2602.T
2607,不二製油,2607.T
2613,Ｊ－オイルミルズ,2613.T
262A,インターメスティック,262A.T
2659,サンエー,2659.T
2664,カワチ薬品,2664.T
2670,エービーシー・マート,2670.T
2674,ハードオフコーポレーション,2674.T
2676,高千穂交易,2676.T
