VOLBRK v2 Prime | 判定日 2026-09-18
部分判定：検証済み1548銘柄内の条件一致は11銘柄。未判定分は不明です。
判定可能: 1548/1549銘柄（99.94%）
未判定: 1銘柄 / 普通株以外の除外: 0銘柄
1721 コムシスホールディングス | 終値 5,868.00 | 直前20日高値 5,648.00 | 出来高 5.8680倍 | 翌営業日寄付きの候補
3880 大王製紙 | 終値 1,024.00 | 直前20日高値 1,018.00 | 出来高 6.7399倍 | 翌営業日寄付きの候補
4933 Ｉ－ｎｅ | 終値 2,370.00 | 直前20日高値 2,265.00 | 出来高 5.5825倍 | 翌営業日寄付きの候補
6905 コーセル | 終値 1,371.00 | 直前20日高値 1,358.00 | 出来高 13.3060倍 | 翌営業日寄付きの候補
7180 九州フィナンシャルグループ | 終値 1,678.00 | 直前20日高値 1,649.00 | 出来高 2.7105倍 | 翌営業日寄付きの候補
7380 十六フィナンシャルグループ | 終値 2,723.00 | 直前20日高値 2,706.00 | 出来高 2.8849倍 | 翌営業日寄付きの候補
8341 七十七銀行 | 終値 4,185.00 | 直前20日高値 4,128.00 | 出来高 3.0037倍 | 翌営業日寄付きの候補
8377 ほくほくフィナンシャルグループ | 終値 8,604.00 | 直前20日高値 8,514.00 | 出来高 2.7346倍 | 翌営業日寄付きの候補
8387 四国銀行 | 終値 4,440.00 | 直前20日高値 4,385.00 | 出来高 2.8998倍 | 翌営業日寄付きの候補
8418 山口フィナンシャルグループ | 終値 3,443.00 | 直前20日高値 3,307.00 | 出来高 5.1099倍 | 翌営業日寄付きの候補
8798 アドバンスクリエイト | 終値 174.00 | 直前20日高値 148.00 | 出来高 64.2901倍 | 翌営業日寄付きの候補
未判定理由: {'MISSING_OHLCV': 1}
